simulation,analysis,data,node,trial,scenario,heuristic,type,time,simulator-normalization
1,4,4,128,2,increasing0.5,model-even,Model(B2),54.14837147397626,2.67770564567549211557
1,4,4,128,2,increasing0.5,model-even,Model(B3),105.19094534698279,1.37838289713743760608
1,4,4,128,2,increasing0.5,even-model,Simulator,145.0245,1.0
1,4,4,128,2,increasing0.5,even-model,Model(B),4.88863970890975,29.66561428850786305502
1,4,4,128,2,increasing0.5,even-model,Model(B1),4.88863970890975,29.66561428850786305502
1,4,4,128,2,increasing0.5,even-model,Model(B2),42.80685975984932,3.38787990554788795710
1,4,4,128,2,increasing0.5,even-model,Model(B3),83.4814108149014,1.73720710496321873427
1,4,4,128,2,increasing0.5,even-even,Simulator,,1.0
1,4,4,128,2,increasing0.5,even-even,Model(B),5.576815675556117,
1,4,4,128,2,increasing0.5,even-even,Model(B1),5.576815675556117,
1,4,4,128,2,increasing0.5,even-even,Model(B2),43.149483518324836,
1,4,4,128,2,increasing0.5,even-even,Model(B3),83.82403457337692,
1,4,4,128,2,increasing0.75,model-model,Simulator,217.1972,1.0
1,4,4,128,2,increasing0.75,model-model,Model(B),4.062348900923658,53.46591474469752711756
1,4,4,128,2,increasing0.75,model-model,Model(B1),5.9402831732241275,36.56344212326746718973
1,4,4,128,2,increasing0.75,model-model,Model(B2),61.75367339087554,3.51715433388440555559
1,4,4,128,2,increasing0.75,model-model,Model(B3),179.0142566430798,1.21329554457246211639
1,4,4,128,2,increasing0.75,model-even,Simulator,217.1959,1.0
1,4,4,128,2,increasing0.75,model-even,Model(B),4.320823364521474,50.26724808595691926822
1,4,4,128,2,increasing0.75,model-even,Model(B1),6.198757636821943,35.03861785300493289459
1,4,4,128,2,increasing0.75,model-even,Model(B2),62.012147854473355,3.50247342681474615273
1,4,4,128,2,increasing0.75,model-even,Model(B3),179.2727311066776,1.21153897003307173565
1,4,4,128,2,increasing0.75,even-model,Simulator,217.1840,1.0
1,4,4,128,2,increasing0.75,even-model,Model(B),4.506668311962183,48.19169838248847488240
1,4,4,128,2,increasing0.75,even-model,Model(B1),6.590001645295517,32.95659268234685950526
1,4,4,128,2,increasing0.75,even-model,Model(B2),68.50798141800256,3.17019996071477133020
1,4,4,128,2,increasing0.75,even-model,Model(B3),198.59394096341663,1.09360838979477163585
1,4,4,128,2,increasing0.75,even-even,Simulator,217.1863,1.0
1,4,4,128,2,increasing0.75,even-even,Model(B),4.79341342001601,45.30931947014797605237
1,4,4,128,2,increasing0.75,even-even,Model(B1),6.876746753349343,31.58271022474670462275
1,4,4,128,2,increasing0.75,even-even,Model(B2),68.79472652605638,3.15701959971800306004
1,4,4,128,2,increasing0.75,even-even,Model(B3),198.88068607147048,1.09204319579806331025
1,4,4,128,2,decreasing0.25,model-model,Simulator,72.8159,1.0
1,4,4,128,2,decreasing0.25,model-model,Model(B),4.037165818225893,18.03639069549005717768
1,4,4,128,2,decreasing0.25,model-model,Model(B1),6.876746753349343,10.58871332793152040041
1,4,4,128,2,decreasing0.25,model-model,Model(B2),68.79472652605638,1.05845176915443625597
1,4,4,128,2,decreasing0.25,model-model,Model(B3),198.88068607147048,.36612856400662563980
1,4,4,128,2,decreasing0.25,model-even,Simulator,72.8294,1.0
1,4,4,128,2,decreasing0.25,model-even,Model(B),5.241881374127751,13.89375203327999983923
1,4,4,128,2,decreasing0.25,model-even,Model(B1),6.876746753349343,10.59067646551448065394
1,4,4,128,2,decreasing0.25,model-even,Model(B2),68.79472652605638,1.05864800512602467126
1,4,4,128,2,decreasing0.25,model-even,Model(B3),198.88068607147048,.36619644390118286488
1,4,4,128,2,decreasing0.25,even-model,Simulator,72.7968,1.0
1,4,4,128,2,decreasing0.25,even-model,Model(B),5.1095379886921455,14.24723725728347375679
1,4,4,128,2,decreasing0.25,even-model,Model(B1),6.876746753349343,10.58593585179562848614
1,4,4,128,2,decreasing0.25,even-model,Model(B2),68.79472652605638,1.05817413159463338692
1,4,4,128,2,decreasing0.25,even-model,Model(B3),198.88068607147048,.36603252652617801023
1,4,4,128,2,decreasing0.25,even-even,Simulator,72.8138,1.0
1,4,4,128,2,decreasing0.25,even-even,Model(B),6.6342561141304355,10.97542795263999881317
1,4,4,128,2,decreasing0.25,even-even,Model(B1),6.876746753349343,10.58840795097417102763
1,4,4,128,2,decreasing0.25,even-even,Model(B2),68.79472652605638,1.05842124355885583581
1,4,4,128,2,decreasing0.25,even-even,Model(B3),198.88068607147048,.36611800491191673812
1,4,4,128,2,decreasing0.5,model-model,Simulator,145.0091,1.0
1,4,4,128,2,decreasing0.5,model-model,Model(B),4.016624836177171,36.10222659928892906222
1,4,4,128,2,decreasing0.5,model-model,Model(B1),6.808620410452478,21.29786818154592689372
1,4,4,128,2,decreasing0.5,model-model,Model(B2),68.72660018315952,2.10994141443842912792
1,4,4,128,2,decreasing0.5,model-model,Model(B3),198.8125597285736,.72937595189142923801
1,4,4,128,2,decreasing0.5,model-even,Simulator,145.0263,1.0
1,4,4,128,2,decreasing0.5,model-even,Model(B),5.303261718087093,27.34662321215999631428
1,4,4,128,2,decreasing0.5,model-even,Model(B1),6.808620410452478,21.30039439081639743620
1,4,4,128,2,decreasing0.5,model-even,Model(B2),68.72660018315952,2.11019168143773014407
1,4,4,128,2,decreasing0.5,model-even,Model(B3),198.8125597285736,.72946246554038321802
1,4,4,128,2,decreasing0.5,even-model,Simulator,145.0010,1.0
1,4,4,128,2,decreasing0.5,even-model,Model(B),4.204904125372975,34.48378266820492872933
1,4,4,128,2,decreasing0.5,even-model,Model(B1),6.808620410452478,21.29667851322669367313
1,4,4,128,2,decreasing0.5,even-model,Model(B2),68.72660018315952,2.10982355614224667264
1,4,4,128,2,decreasing0.5,even-model,Model(B3),198.8125597285736,.72933520999860788696
1,4,4,128,2,decreasing0.5,even-even,Simulator,145.0192,1.0
1,4,4,128,2,decreasing0.5,even-even,Model(B),5.05467132505176,28.69013446655999905988
1,4,4,128,2,decreasing0.5,even-even,Model(B1),6.808620410452478,21.29935159512916831692
1,4,4,128,2,decreasing0.5,even-even,Model(B2),68.72660018315952,2.11008837354848379438
1,4,4,128,2,decreasing0.5,even-even,Model(B3),198.8125597285736,.72942675351087314488
1,4,4,128,2,decreasing0.75,model-model,Simulator,217.2489,1.0
1,4,4,128,2,decreasing0.75,model-model,Model(B),4.025140878936596,53.97299288003929356147
1,4,4,128,2,decreasing0.75,model-model,Model(B1),5.765001253558489,37.68410282060242998872
1,4,4,128,2,decreasing0.75,model-model,Model(B2),67.68298102626554,3.20980099732446541491
1,4,4,128,2,decreasing0.75,model-model,Model(B3),197.76894057167962,1.09849857804774981516
1,4,4,128,2,decreasing0.75,model-even,Simulator,217.2707,1.0
1,4,4,128,2,decreasing0.75,model-even,Model(B),5.177955991516437,41.96070811647999921798
1,4,4,128,2,decreasing0.75,model-even,Model(B1),6.499013885914186,33.43133340134994080615
1,4,4,128,2,decreasing0.75,model-even,Model(B2),67.68298102626554,3.21012308715664257827
1,4,4,128,2,decreasing0.75,model-even,Model(B3),197.76894057167962,1.09860880769218732875
1,4,4,128,2,decreasing0.75,even-model,Simulator,217.1890,1.0
1,4,4,128,2,decreasing0.75,even-model,Model(B),5.441546601373792,39.91310116597507424139
1,4,4,128,2,decreasing0.75,even-model,Model(B1),7.524879934707126,28.86278610217495245881
1,4,4,128,2,decreasing0.75,even-model,Model(B2),88.91689849383852,2.44260656499450519518
1,4,4,128,2,decreasing0.75,even-model,Model(B3),257.95093561210126,.84197795012692718417
1,4,4,128,2,decreasing0.75,even-even,Simulator,217.2064,1.0
1,4,4,128,2,decreasing0.75,even-even,Model(B),6.751263667831263,32.17270287264223100768
1,4,4,128,2,decreasing0.75,even-even,Model(B1),8.834597001164596,24.58588659690616049750
1,4,4,128,2,decreasing0.75,even-even,Model(B2),90.22661556029598,2.40734287384244067345
1,4,4,128,2,decreasing0.75,even-even,Model(B3),259.2606526785587,.83779161147642725686
1,4,4,128,3,ideal,model-model,Simulator,4.7080,1.0
1,4,4,128,3,ideal,model-model,Model(B),4.516942201395752,1.04229803926762897853
1,4,4,128,3,ideal,model-model,Model(B1),4.516942201395752,1.04229803926762897853
1,4,4,128,3,ideal,model-model,Model(B2),4.516942201395752,1.04229803926762897853
1,4,4,128,3,ideal,model-model,Model(B3),4.516942201395752,1.04229803926762897853
1,4,4,128,3,ideal,model-even,Simulator,5.6575,1.0
1,4,4,128,3,ideal,model-even,Model(B),5.518300748589048,1.02522502084478510773
1,4,4,128,3,ideal,model-even,Model(B1),5.518300748589048,1.02522502084478510773
1,4,4,128,3,ideal,model-even,Model(B2),5.518300748589048,1.02522502084478510773
1,4,4,128,3,ideal,model-even,Model(B3),5.518300748589048,1.02522502084478510773
1,4,4,128,3,ideal,even-model,Simulator,4.7080,1.0
